actor,action,rep,phase,frame_in_phase,0x08C,0x1AC,0x118,0x044,0x048,0x054,0x058,0x04C
p1,hk,0,hold,1,0,0,260578,65536,0,65536,65536,0
p1,hk,0,hold,2,0,0,260578,65536,0,65536,65536,0
p1,hk,0,hold,3,0,0,260579,65536,0,65536,65536,0
p1,hk,0,hold,4,0,0,260579,65536,0,65536,65536,0
p1,hk,0,hold,5,0,0,260579,65536,0,65536,65536,0
p1,hk,0,hold,6,0,0,260579,65536,0,65536,65536,0
p1,hk,0,hold,7,0,0,260579,65536,0,65536,65536,0
p1,hk,0,hold,8,0,0,260579,65536,0,65536,65536,0
p1,hk,0,hold,9,0,0,260579,65536,0,65536,65536,0
p1,hk,0,post,0,0,0,260579,65536,0,65536,65536,0
p1,hk,0,post,1,0,0,260579,65536,0,65536,65536,0
p1,hk,0,post,2,0,0,260579,65536,0,65536,65536,0
p1,hk,0,post,3,0,412204,260579,65536,0,65536,65536,0
p1,hk,0,post,4,0,412204,260579,64226,0,65536,65536,0
p1,hk,0,post,5,0,412204,260579,64226,0,65536,65536,0
p1,hk,0,post,6,0,412204,260579,62916,0,65536,65536,0
p1,hk,0,post,7,0,412204,260579,62916,0,65536,65536,0
p1,hk,0,post,8,0,412204,260579,61606,0,65536,65536,0
p1,hk,0,post,9,0,412204,260579,61606,0,65536,65536,0
p1,hk,0,post,10,0,412204,260579,60296,0,65536,65536,0
p1,hk,0,post,11,0,412204,260579,58986,0,65536,65536,0
p1,hk,0,post,12,0,412204,260579,58986,0,65536,65536,0
p1,hk,0,post,13,0,412204,260579,58986,0,65536,65536,0
p1,hk,1,pre,0,0,0,260578,65536,0,65536,65536,0
p1,hk,1,pre,1,0,0,260578,65536,0,65536,65536,0
p1,hk,1,pre,2,0,0,260578,65536,0,65536,65536,0
p1,hk,1,pre,3,0,0,260578,65536,0,65536,65536,0
p1,hk,1,pre,4,0,0,260578,65536,0,65536,65536,0
p1,hk,1,pre,5,0,0,260578,65536,0,65536,65536,0
p1,hk,1,pre,6,0,0,260578,65536,0,65536,65536,0
p1,hk,1,pre,7,0,0,260578,65536,0,65536,65536,0
p1,hk,1,hold,0,0,0,260578,65536,0,65536,65536,0
p1,hk,1,hold,1,0,0,260578,65536,0,65536,65536,0
p1,hk,1,hold,2,0,0,260578,65536,0,65536,65536,0
p1,hk,1,hold,3,0,0,260579,65536,0,65536,65536,0
p1,hk,1,hold,4,0,0,260579,65536,0,65536,65536,0
p1,hk,1,hold,5,0,0,260579,65536,0,65536,65536,0
p1,hk,1,hold,6,0,0,260579,65536,0,65536,65536,0
p1,hk,1,hold,7,0,0,260579,65536,0,65536,65536,0
p1,hk,1,hold,8,0,0,260579,65536,0,65536,65536,0
p1,hk,1,hold,9,0,0,260579,65536,0,65536,65536,0
p1,hk,1,post,0,0,0,260579,65536,0,65536,65536,0
p1,hk,1,post,1,0,0,260579,65536,0,65536,65536,0
p1,hk,1,post,2,0,0,260579,65536,0,65536,65536,0
p1,hk,1,post,3,0,412204,260579,64226,0,65536,65536,0
p1,hk,1,post,4,0,412204,260579,64226,0,65536,65536,0
p1,hk,1,post,5,0,412204,260579,62916,0,65536,65536,0
p1,hk,1,post,6,0,412204,260579,62916,0,65536,65536,0
p1,hk,1,post,7,0,412204,260579,61606,0,65536,65536,0
p1,hk,1,post,8,0,412204,260579,61606,0,65536,65536,0
p1,hk,1,post,9,0,412204,260579,60296,0,65536,65536,0
p1,hk,1,post,10,0,412204,260579,60296,0,65536,65536,0
p1,hk,1,post,11,0,412204,260579,58986,0,65536,65536,0
p1,hk,1,post,12,0,412204,260579,58986,0,65536,65536,0
p1,hk,1,post,13,0,412204,260579,57676,0,65536,65536,0
p1,hk,2,pre,0,0,0,260578,65536,0,65536,65536,0
p1,hk,2,pre,1,0,0,260578,65536,0,65536,65536,0
p1,hk,2,pre,2,0,0,260578,65536,0,65536,65536,0
p1,hk,2,pre,3,0,0,260578,65536,0,65536,65536,0
p1,hk,2,pre,4,0,0,260578,65536,0,65536,65536,0
p1,hk,2,pre,5,0,0,260578,65536,0,65536,65536,0
p1,hk,2,pre,6,0,0,260578,65536,0,65536,65536,0
p1,hk,2,pre,7,0,0,260578,65536,0,65536,65536,0
p1,hk,2,hold,0,0,0,260578,65536,0,65536,65536,0
p1,hk,2,hold,1,0,0,260578,65536,0,65536,65536,0
p1,hk,2,hold,2,0,0,260578,65536,0,65536,65536,0
p1,hk,2,hold,3,0,0,260579,65536,0,65536,65536,0
p1,hk,2,hold,4,0,0,260579,65536,0,65536,65536,0
p1,hk,2,hold,5,0,0,260579,65536,0,65536,65536,0
p1,hk,2,hold,6,0,0,260579,65536,0,65536,65536,0
p1,hk,2,hold,7,0,0,260579,65536,0,65536,65536,0
p1,hk,2,hold,8,0,0,260579,65536,0,65536,65536,0
p1,hk,2,hold,9,0,0,260579,65536,0,65536,65536,0
p1,hk,2,post,0,0,0,260579,65536,0,65536,65536,0
p1,hk,2,post,1,0,0,260579,65536,0,65536,65536,0
p1,hk,2,post,2,0,0,260579,65536,0,65536,65536,0
p1,hk,2,post,3,0,412204,260579,65536,0,65536,65536,0
p1,hk,2,post,4,0,412204,260579,64226,0,65536,65536,0
p1,hk,2,post,5,0,412204,260579,64226,0,65536,65536,0
p1,hk,2,post,6,0,412204,260579,62916,0,65536,65536,0
p1,hk,2,post,7,0,412204,260579,62916,0,65536,65536,0
p1,hk,2,post,8,0,412204,260579,61606,0,65536,65536,0
p1,hk,2,post,9,0,412204,260579,60296,0,65536,65536,0
p1,hk,2,post,10,0,412204,260579,60296,0,65536,65536,0
p1,hk,2,post,11,0,412204,260579,58986,0,65536,65536,0
p1,hk,2,post,12,0,412204,260579,58986,0,65536,65536,0
p1,hk,2,post,13,0,412204,260579,57676,0,65536,65536,0
